gu,dong,title,price,time,link,status
강남구,청담동,닌텐도 스위치 짱구 나와박사의 여름방학,30000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A7%B1%EA%B5%AC-%EB%82%98%EC%99%80%EB%B0%95%EC%82%AC%EC%9D%98-%EC%97%AC%EB%A6%84%EB%B0%A9%ED%95%99-ii1ty36ayufm/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 마리오테니스 에이스,40000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%88%EB%A6%AC%EC%98%A4%ED%85%8C%EB%8B%88%EC%8A%A4-%EC%97%90%EC%9D%B4%EC%8A%A4-w2nc4vto2qxi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 OLED 풀박/새상품/사용X,280000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%92%80%EB%B0%95-%EC%83%88%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9x-jonucj23zghi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 젤다의 티어스 오브 더 킹덤,40000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A0%A4%EB%8B%A4%EC%9D%98-%ED%8B%B0%EC%96%B4%EC%8A%A4-%EC%98%A4%EB%B8%8C-%EB%8D%94-%ED%82%B9%EB%8D%A4-shxw8cjadtar/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치OLED 마리오카트+동물의숲,370000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98oled-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8-%EB%8F%99%EB%AC%BC%EC%9D%98%EC%88%B2-y7wp184bk7om/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 OLED 마리오카트,300000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8-3ptnobdfy3zy/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 OLED 포켓몬스터 스칼렛 바이올렛 에디션 풀박스 판매,400000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%8A%A4%ED%84%B0-%EC%8A%A4%EC%B9%BC%EB%A0%9B-%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A0%9B-%EC%97%90%EB%94%94%EC%85%98-%ED%92%80%EB%B0%95%EC%8A%A4-%ED%8C%90%EB%A7%A4-9554k2wiw4vh/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치용 피크민4 새제품 판매합니다.,55000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98%EC%9A%A9-%ED%94%BC%ED%81%AC%EB%AF%BC4-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-67wkh82vuq1v/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 조이콘 고구마콘&수박콘,50000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A1%B0%EC%9D%B4%EC%BD%98-%EA%B3%A0%EA%B5%AC%EB%A7%88%EC%BD%98-%EC%88%98%EB%B0%95%EC%BD%98-he9u3vpfic7h/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치용 마리오파티 잼버리 밀봉 새제품 판매,54000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98%EC%9A%A9-%EB%A7%88%EB%A6%AC%EC%98%A4%ED%8C%8C%ED%8B%B0-%EC%9E%BC%EB%B2%84%EB%A6%AC-%EB%B0%80%EB%B4%89-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%90%EB%A7%A4-bzuee2b2wvpv/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
